Year,Activity Type Code,Passenger Count
2005,Deplaned,8542484
2005,Enplaned,8524953
2005,Thru / Transit,154596
2006,Deplaned,16526521
2006,Enplaned,16558007
2006,Thru / Transit,248442
2007,Deplaned,17630773
2007,Enplaned,17686557
2007,Thru / Transit,236752
2008,Deplaned,18538541
2008,Enplaned,18528274
2008,Thru / Transit,167863
2009,Deplaned,18612979
2009,Enplaned,18611271
2009,Thru / Transit,114692
2010,Deplaned,19577072
2010,Enplaned,19539692
2010,Thru / Transit,137235
2011,Deplaned,20421424
2011,Enplaned,20388717
2011,Thru / Transit,117645
2012,Deplaned,22174372
2012,Enplaned,22148189
2012,Thru / Transit,77324
2013,Deplaned,22461971
2013,Enplaned,22417785
2013,Thru / Transit,66004
2014,Deplaned,23609734
2014,Enplaned,23464428
2014,Thru / Transit,40469
2015,Deplaned,25093661
2015,Enplaned,24955019
2015,Thru / Transit,9207
2016,Deplaned,26683974
2016,Enplaned,26412251
2016,Thru / Transit,7223
2017,Deplaned,27952477
2017,Enplaned,27862429
2017,Thru / Transit,8806
2018,Deplaned,28964142
2018,Enplaned,28736291
2018,Thru / Transit,46440
2019,Deplaned,28684054
2019,Enplaned,28665071
2019,Thru / Transit,69449
2020,Deplaned,8228907
2020,Enplaned,8180718
2020,Thru / Transit,9088
2021,Deplaned,12181933
2021,Enplaned,12186615
2021,Thru / Transit,9074
2022,Deplaned,21147349
2022,Enplaned,21114497
2022,Thru / Transit,72583
